,Site Type,sample Type,distancetoirport,distancetolandfil,distancetochemfactory,distancetofirefighting,distancetowaterways,Total PFAS,PFAS_Found
167,0,1,16.97419237972206,6.218116775344854,0.8400658666144077,0.8400658666144077,4.721285873876604,66.0,1
168,0,3,14.685128852872392,1.5146852874321908,0.2815674924236826,0.2815674924236826,32.704776416595514,0.0,0
169,1,0,10.128221902591557,6.752562873136282,4.987109427022695,4.987109427022695,8.047231639742625,25.12,1
170,4,1,15.633707019091926,3.8927520194084964,0.2743731296335291,0.2743731296335291,2.6513335513043597,237.0,1
171,1,3,10.908622519233015,3.8298592395116744,1.3973154363309226,1.3973154363309226,32.151792785713305,7.3,1
172,1,0,11.537661432624743,4.757345620595133,0.7805079874674584,0.7805079874674584,5.167900988776525,66.26,1
173,3,1,15.579685716557588,8.068069598524891,6.442761505993915,6.442761505993915,7.2267603046153575,80.0,1
174,3,0,10.003673759264451,6.007425107685561,5.806035329202486,5.806035329202486,6.495345857669468,15.21,1
175,3,0,5.792081189657077,3.0995354161805135,9.429218041376021,9.429218041376021,12.753835643503116,65.0,1
176,3,0,8.419788722881536,6.302112421413636,6.035001347094591,6.035001347094591,6.851317507059886,44.81,1
177,3,0,4.298455936375431,1.5368129729349664,10.261878564933548,10.261878564933548,10.80253091551108,60.0,1
178,3,0,14.672877643389997,11.54743242881701,7.541316791431159,7.541316791431159,5.0120587417723375,57.6,1
179,0,1,9.435852609068178,2.3943651501343646,2.4625470214243093,2.4625470214243093,6.322619134543674,41.0,1
180,4,1,6.990321640377066,9.138076587682573,2.712836008359529,2.712836008359529,5.8207546516180475,237.0,1
181,0,1,389.2060283117253,755.5600278795126,353.83207463435514,353.83207463435514,764.3102172769387,51.0,1
182,0,1,10.85041558371616,6.764657491465476,2.6491647025447076,2.6491647025447076,5.388316258642375,124.0,1
183,1,1,12.772331815868146,8.039559674329556,4.7116691266286335,4.7116691266286335,9.433455279967228,21.0,1
184,3,0,3.8558269385609707,6.13052101513871,2.5611276910505896,2.5611276910505896,8.17729825012636,40.0,1
